en	tw	cn	hk	sg	hant	hans	mo	my
3-D film					3D電影	三维电影		
360 Search					360搜索	360搜索		
3D computer					3D電腦	三维计算机		
3D computer graphics					3D電腦圖形	三维计算机图形		
3D Touch		三维触控			3D觸控			
Abstract	摘要；抽象的	摘要；抽象的						
Abstraction	抽象	抽象						
Acceptor	受體	受主						
access	存取權限;存取 (win)；取用 (mac);存取;存取權	访问权限;访问;访问权						
access control list	存取控制列表	访问控制表		访问控制表				访问控制表
access Multiplexer	接取多工器	接入复用器						
access Point	存取點	接入点						
Accessibility	無障礙；協助工具 (win)；輔助功能 (mac)	无障碍；辅助功能 (win/mac)						
account	帳號;帳戶	账号;账户	帳號;帳戶					
Action Button					動作按鈕	操作按钮		
Activate, Activation	啟用，啟動	激活						
activation	啟用	激活						
activation function	啟用功能	激活函数						
Active	主動;使用中的；現行的；有效的；啟用的	有源;使用中的；现用的；有效的；激活的						
Active region	主動區	放大区						
adapter	配接器	适配器						
Adapter, Adaptor	介面卡，配接器 (win)；轉接器 (mac)	适配卡，适配器						
ADC	類比數位轉換器	模拟数字转换器	模擬數碼轉換器					
Add	加入	添加						
add-on	附加元件	附加组件						
address	位址;位址，地址	地址;位址，地址	地址					
address bar	網址列	地址栏	地址列					
addressing	定址	寻址	定址					
addressing modes	定址模式	寻址模式	定址模式					
advanced	進階;進階的	高级;高级的						
advertising area	廣告區	广告位						
agent-oriented programming	代理人導向程式設計	面向代理编程						
Aggregation	聚合	聚合						
AI	人工智慧	人工智能	人工智能	人工智慧				
AI (Artificial intelligence)	人工智慧	人工智能						
AirDrop	AirDrop	隔空投送	AirDrop	AirDrop				
AirPlay		隔空播放			AirPlay			
album (online)	相簿	相册						相簿
Algorithm	演算法	算法						
Aligner	曝光機	光刻机	光刻機					
Allocate	配置	分配						
allocation unit	單位配置	分配单元						
Allocator	配置器	分配器						
always on display	隨顯螢幕	息屏显示	隨顯螢幕				隨顯螢幕	
Always-On Retina display	隨顯 Retina 顯示器	全天候视网膜显示屏	常亮 Retina 顯示器					
amplitude	振幅	幅度						
analog	類比	模拟	模擬					
Analog Broadcasting	類比廣播	模拟广播	模擬廣播					
Analog Television	類比電視	模拟电视	模擬電視				模擬電視	
analogizer					模擬器	模拟器		
AND gate	及閘	与门	與門					
Animoji	Animoji	动话表情	Animoji					
Annotation	註釋 (win)；註解 (mac)；詮釋 (web)	注释 (win)；注解 (mac)						
antivirus	防毒	杀毒						
AOL	美國線上	美国在线						
App bundle	應用程式套件組合 (win)；App 套件 (mac)	应用程序包 (win)；App 捆绑包 (mac)						
App Library	App資料庫	App资源库						
Apple Intelligence		Apple 智能			Apple Intelligence	Apple Intelligence		
Apple Lossless	Apple 保真壓縮	Apple 保真压缩	Apple 無損壓縮					
Apple T2 Security Chip	Apple T2 安全晶片	Apple T2 安全芯片	Apple T2 保安晶片					
Application	應用；應用程式	应用；应用程序;应用程序			應用程式			应用程式
application programming interface	應用程式介面	应用程序接口						
Apply	套用	应用						
Architecture	架構；結構	架构；结构						
archive	壓縮檔	压缩包						压缩档
archives					檔案館;檔案室	档案馆;档案室		
Argument	引數	参数（也称为实际参数，实参）						
Arity	元數（所需運算元的數量）	参数数量						
array	陣列	数组						
array (RAID)	伺服器陣列;硬碟陣列;磁碟陣列;陣列硬碟;陣列伺服器	服务器阵列;硬盘阵列;磁盘阵列;阵列硬盘;阵列服务器		伺服器阵列;阵列伺服器				
Artifact	成品 (win/mac)；產出物 (web)	项目 (win)；成品 (mac)						
Artificial Neural	類神經	人工神经						
ASIC	特定應用積體電路	特殊应用集成电路	特殊應用集成電路		特殊應用積體電路			
assembler	組譯	汇编						
Assembly language	組合語言	汇编语言	匯編語言					
assembly mnemonic	輔助記憶碼	助记符						
Assert, Assertion	判斷提示 (win)；宣告 (win/mac)；聲明 (mac)	断言 (win)；声明 (win/mac)；论断 (mac)						
Assign, Assignment	指派；（程式設計）賦值	分配；（编程）赋值						
assignment operator	設定運算子;指派運算子	赋值运算符	設定運算子				設定運算子	
Asynchronize	非同步	异步						
Asynchronous	非同步的	异步的						
asynchrony	非同步	异步	非同步				非同步	
Atomic	不可分割的	原子的						
Attribute	屬性	属性；特性						
Audio	音訊；音效;音訊	音频	音頻					
audio file	音訊檔	音频档;音频文档;音频文件	音頻檔					
audio input	音訊輸入	音频输入	音頻輸入					
audio output	音訊輸出	音频输出	音頻輸出					
audio profiles	音訊設定檔	情景模式						
audio track	音訊軌	音频轨	音頻軌					
audit	稽核	审核						
augmented reality	擴增實境	增强现实	擴張實境	扩增实境				
Authenticate, Authentication	驗證，認證	验证，认证						
Authorize, Authorization	授權	授权						
Autoboxing	自動裝箱	自动装箱						
Avalanche breakdown	突崩潰	雪崩击穿						
Avalanche diode	雪崩二極體	雪崩二极管						
Avalanche photodiode	雪崩光二極體	雪崩光电二极管						
average bitrate	平均位元率	平均码率						
back chaining	反鏈結	反链接						
Background processes	背景程序，背景處理程序	后台进程						
background traffic	背景流量	后台流量						
backward compatible	向下相容		向下相容				向下相容	
bad sector	壞軌	坏道						
band width	頻寬	带宽						
Bandwidth	頻寬	带宽						
Base class	基底類別;基礎類別	基类						
base name	主檔名	文件主名						
Base Station	基地台		基站			基站		
base type	基本類型	基类型						
baseband	基頻	基带	基帶					
batch	批次;批次處理;批次（處理）	批量;批处理;批（处理）						
batch file	批次檔	批处理文件						
batch programs	批次程式	批处理程序						
Baud	鮑	波特	鮑		鮑	波特		
Baud rate	鮑率	波特率	鮑率		鮑率	波特率		
BEOL	後段製程	后道工序						
Berkeley Software Distribution	柏克萊軟體套件	伯克利软件套件	柏克萊軟件套件					
Biasing	偏壓	偏置						
big data	巨量資料	大数据	大數據					
Bill Gates	蓋茲	盖茨	蓋茨					
binary	二元		二元				二元	
binary function	二元函數;二元函式	双参函数;二元函数						
binary heap	二元堆積	二叉堆	二叉堆積					
binary linked list	二元連結串列	二叉链表	二元連結串列				二元連結串列	
Binary operator	二元運算子	二元运算符						
Binary search	二元搜尋法;二分搜尋	二分查找	二分檢索					
binary search tree	二元搜尋樹	二叉搜索树	二叉搜尋樹				二叉搜尋樹	
Binary tree	二元樹	二叉树	二叉樹					
Bind	繫結 (win)；綁定 (mac)	绑定						
binding	繫結	绑定						
Bionic					仿生	仿生		
bit	位元	比特;位	位元	位元			位元	位元
bit error	位元錯誤	比特差错						
bit error rate	位元錯誤率	比特误码率	位元錯誤率				位元錯誤率	
bit field	位元欄	位段						
