English	臺灣	中國大陸
Abstract	摘要；抽象的	摘要；抽象的
Abstraction	抽象	抽象
Access	存取 (win)；取用 (mac)	訪問
Accessibility	無障礙；協助工具 (win)；輔助功能 (mac)	無障礙；輔助功能 (win/mac)
Activate, Activation	啟用，啟動	激活
Active	使用中的；現行的；有效的；啟用的	使用中的；現用的；有效的；激活的
Adapter, Adaptor	介面卡，配接器 (win)；轉接器 (mac)	適配卡，適配器
Add	加入	添加
Address	位址，地址	位址，地址
Advanced	進階的	高級的
Aggregation	聚合	聚合
AI (Artificial intelligence)	人工智慧	人工智慧
Algorithm	演算法	算法
Allocate	配置	分配
Allocator	配置器	分配器
Annotation	註釋 (win)；註解 (mac)；詮釋 (web)	注釋 (win)；註解 (mac)
App bundle	應用程式套件組合 (win)；App 套件 (mac)	應用程式包 (win)；App 捆綁包 (mac)
Application	應用；應用程式	應用；應用程式
Apply	套用	應用
Architecture	架構；結構	架構；結構
Argument	引數	參數（也稱為實際參數，實參）
Arity	元數（所需運算元的數量）	參數數量
Artifact	成品 (win/mac)；產出物 (web)	項目 (win)；成品 (mac)
Array	陣列	數組
Assembly language	組合語言	彙編語言
Assert, Assertion	判斷提示 (win)；宣告 (win/mac)；聲明 (mac)	斷言 (win)；聲明 (win/mac)；論斷 (mac)
Assign, Assignment	指派；（程式設計）賦值	分配；（編程）賦值
Assignment operator	指派運算子	賦值運算符
Asynchronize	非同步	異步
Asynchronous	非同步的	異步的
Atomic	不可分割的	原子的
Attribute	屬性	屬性；特性
Audio	音訊；音效	音頻
Authenticate, Authentication	驗證，認證	驗證，認證
Authorize, Authorization	授權	授權
Autoboxing	自動裝箱	自動裝箱
Background processes	背景程序，背景處理程序	後台進程
Bandwidth	頻寬	頻寬
Base class	基底類別	基類
Batch	批次（處理）	批（處理）
Binary function	二元函式	二元函數
Binary operator	二元運算子	二元運算符
Binary search	二元搜尋法	二分查找
Binary tree	二元樹	二元樹
Bind	繫結 (win)；綁定 (mac)	綁定
Bit	位元	位
Bitrate	位元率	碼率
Block	封鎖；阻擋	屏蔽；阻止
Block	（程式碼）區塊	（代碼）塊
Blocker	封鎖程式 (win)；阻擋器 (mac)	阻止程序 (win)；攔截器 (mac)
Boolean	布林	布爾
Bounce	退回；彈跳	退回；彈跳
Breakpoint	中斷點	斷點
Build (verb)	建構 (mac)；建置，組建 (win)	構建
Build (noun)	構件；版本（號）	構件；版本（號）
Build-in	內建	內置 (win)；內建 (mac)
Bundle (noun)	組合包 (win)；套件 (mac)；套組	捆綁包
Bundle (verb)	整合	整合
Bus	匯流排	匯流排
Burn	燒錄	刻錄
Byte	位元組	字節
Cache	快取記憶體，快取	高速緩存，緩存
Call	呼叫	調用
Callback	回呼	回調
Carriage-return	回車字元	回車符
Certificate	憑證	證書
Character	字元	字符
Check	查看	查看
Check box, Checkbox	核取方塊 (win)；註記框 (mac)	複選框
Class	類別	類
Point & Click (noun)	點按	點按
Click
(vs. Tap)	點選 (win)；按一下，點/選按 (mac)	點擊 (win)；點按 (mac)
Tap
(vs. Click)	輕觸 (win)；點一下 (mac)	觸碰 (win)；輕點 (mac)
Client-side	用戶端	客戶端
Clipboard	剪貼簿 (win)；剪貼板 (mac)	剪貼板
Clone	複製	克隆
Cloud computing	雲端運算	雲計算
Cohesion	內聚	內聚
Collaborate, Collaboration	（協同）合作	協作
Combo box	組合方塊；下拉式方塊 (win)	組合框
Come with	隨附	隨附
Command	指令	命令
Command line	命令列	命令行
Comment	留言	評論
註解，註釋	注釋 (win)；註解，批註 (mac)
Commit	提交	提交
Communication	通訊	通信
Community	社群	社區
Compatibility	相容性	兼容性
Compatible	相容的	兼容的
Compile, Compilation	編譯	編譯
Compile time, Compile-time	編譯期	編譯期，編譯時
Compiler	編譯器	編譯器
Component	組件；元件	組件
Composition	組合	組合
Compress	壓縮	壓縮
Concurrency	並行性，並行	並發性，並發
Concurrent	並行的；同時的	並發的；同時的
Configuration	配置；設定 (mac)；組態 (win)	配置
Connect, Connection	連接；（網路、資料庫）連線	連接
Constant	常數	常量
Constraint	約束；限制	約束；限制
Constructor	建構子，建構式，建構函式	構造函數
Container	容器	容器
Context	背景（關係）；環境；上下文；內容	背景（關係）；環境；上下文；內容
Continuous delivery	持續交付	持續交付
Continuous deployment	持續部署	持續部署
Continuous integration	持續整合	持續集成
Control	控制元件，控制項	控制項
Copy	複製 (win)；拷貝 (mac)	複製 (win)；拷貝 (mac)
Coroutine	協程，協同程式	協程，協同程序
Coupling	耦合	耦合
Crash	當機 (win/mac)；毀損 (win)	崩潰 (win/mac)；故障 (win)
Create	建立	創建
Cursor	游標	光標
Custom	自訂	自定義
Data	資料	數據
Data link layer	資料連結層	數據鏈路層
Data structure	資料結構	資料結構
Database	資料庫	資料庫
Database schema	資料庫綱要 (mac)；資料庫結構描述 (win)	資料庫架構，資料庫模式
Deadlock	死結；鎖死	死鎖
Debug	除錯 (win/mac)；偵錯 (win)	調試
Debugger	除錯器	調試器
Declare, Declaration	宣告，聲明	聲明
Default	預設	默認
